threshold,predicted_count,tp,fp,fn,precision,recall,avg_labels_per_image,fp_to_remove,fn_to_add,ultra_mp,ultra_mr,ultra_map50,ultra_map50_95
0.10,159,60,99,63,0.37735849056603776,0.4878048780487805,1.8928571428571428,99,63,0.7004359957114712,0.31043956043956045,0.34280664075926615,0.11770196796335775
0.25,79,43,36,80,0.5443037974683544,0.34959349593495936,0.9404761904761905,36,80,0.7004359957114712,0.31043956043956045,0.295087019974441,0.10297147079361121
0.50,26,21,5,102,0.8076923076923077,0.17073170731707318,0.30952380952380953,5,102,0.8006535947712419,0.17307692307692307,0.15570360195360197,0.056606168831168834
0.75,5,5,0,118,1.0,0.04065040650406504,0.05952380952380952,0,118,0.5,0.02976190476190476,0.0275,0.012125
