threshold,predicted_count,tp,fp,fn,precision,recall,avg_labels_per_image,fp_to_remove,fn_to_add,ultra_mp,ultra_mr,ultra_map50,ultra_map50_95
0.10,129,57,72,66,0.4418604651162791,0.4634146341463415,1.5357142857142858,72,66,0.43499012508229096,0.42353479853479853,0.3229545483135343,0.12338593123180445
0.25,49,34,15,89,0.6938775510204082,0.2764227642276423,0.5833333333333334,15,89,0.7976190476190477,0.23855311355311354,0.21000480572355573,0.08180809181222079
0.50,9,8,1,115,0.8888888888888888,0.06504065040650407,0.10714285714285714,1,115,0.4444444444444444,0.047619047619047616,0.0475,0.0218125
0.75,2,2,0,121,1.0,0.016260162601626018,0.023809523809523808,0,121,0.5,0.011904761904761904,0.0125,0.0053750000000000004
