threshold,predicted_count,tp,fp,fn,precision,recall,avg_labels_per_image,fp_to_remove,fn_to_add,ultra_mp,ultra_mr,ultra_map50,ultra_map50_95
0.10,59,23,36,35,0.3898305084745763,0.39655172413793105,1.2826086956521738,36,35,0.38652073732718895,0.3940476190476191,0.2921323159599022,0.0755130277937073
0.25,16,12,4,46,0.75,0.20689655172413793,0.34782608695652173,4,46,0.6746031746031746,0.1880952380952381,0.1748888888888889,0.04331349206349207
0.50,1,1,0,57,1.0,0.017241379310344827,0.021739130434782608,0,57,0.5,0.016666666666666666,0.0175,0.0035000000000000005
0.75,0,0,0,58,,0.0,0.0,0,58,0.0,0.0,0.0,0.0
