threshold,predicted_count,tp,fp,fn,precision,recall,avg_labels_per_image,fp_to_remove,fn_to_add,ultra_mp,ultra_mr,ultra_map50,ultra_map50_95
0.10,63,17,46,41,0.2698412698412698,0.29310344827586204,1.3695652173913044,46,41,0.3069053708439898,0.30714285714285716,0.19267987206030684,0.07545220825449657
0.25,18,9,9,49,0.5,0.15517241379310345,0.391304347826087,9,49,0.43333333333333335,0.15119047619047618,0.1180521978021978,0.04404587912087913
0.50,2,1,1,57,0.5,0.017241379310344827,0.043478260869565216,1,57,0.30522003389942864,0.016666666666666666,0.0175,0.00525
0.75,0,0,0,58,,0.0,0.0,0,58,0.0,0.0,0.0,0.0
