threshold,predicted_count,tp,fp,fn,precision,recall,avg_labels_per_image,fp_to_remove,fn_to_add,ultra_mp,ultra_mr,ultra_map50,ultra_map50_95
0.25,98,55,43,68,0.5612244897959183,0.44715447154471544,1.1666666666666667,43,68,0.5354452813469206,0.44597069597069594,0.341766068774221,0.13118028261764356
0.30,69,46,23,77,0.6666666666666666,0.37398373983739835,0.8214285714285714,23,77,0.6044973544973544,0.3521062271062271,0.2883880494505495,0.11361127406097726
0.35,51,36,15,87,0.7058823529411765,0.2926829268292683,0.6071428571428571,15,87,0.6520376175548589,0.2847985347985348,0.24398901888341543,0.1003663910488275
0.40,42,30,12,93,0.7142857142857143,0.24390243902439024,0.5,12,93,0.6527777777777778,0.23534798534798534,0.21047916666666666,0.09027068820160336
0.45,28,22,6,101,0.7857142857142857,0.17886178861788618,0.3333333333333333,6,101,0.7142857142857143,0.18086080586080588,0.17185714285714285,0.07137974386724387
0.50,18,16,2,107,0.8888888888888888,0.13008130081300814,0.21428571428571427,2,107,0.825,0.15109890109890112,0.14775,0.0618875
