threshold,predicted_count,tp,fp,fn,precision,recall,avg_labels_per_image,fp_to_remove,fn_to_add,ultra_mp,ultra_mr,ultra_map50,ultra_map50_95
0.10,228,72,156,51,0.3157894736842105,0.5853658536585366,2.7142857142857144,156,51,0.4604659617202273,0.4697802197802198,0.39559174912779094,0.1512796269413821
0.25,98,55,43,68,0.5612244897959183,0.44715447154471544,1.1666666666666667,43,68,0.5354452813469206,0.44597069597069594,0.341766068774221,0.13118028261764356
0.50,18,16,2,107,0.8888888888888888,0.13008130081300814,0.21428571428571427,2,107,0.825,0.15109890109890112,0.14775,0.0618875
0.75,1,1,0,122,1.0,0.008130081300813009,0.011904761904761904,0,122,0.5,0.01282051282051282,0.0125,0.01
