threshold,predicted_count,tp,fp,fn,precision,recall,avg_labels_per_image,fp_to_remove,fn_to_add,ultra_mp,ultra_mr,ultra_map50,ultra_map50_95
0.10,122,53,69,70,0.4344262295081967,0.43089430894308944,1.4523809523809523,69,70,0.44618556701030926,0.39194139194139194,0.2830532262803174,0.11901191632491961
0.25,58,36,22,87,0.6206896551724138,0.2926829268292683,0.6904761904761905,22,87,0.6054158607350097,0.25045787545787546,0.21048183502233844,0.08907662425167001
0.50,22,17,5,106,0.7727272727272727,0.13821138211382114,0.2619047619047619,5,106,0.8421052631578947,0.11584249084249085,0.10736591478696743,0.048536382623224725
0.75,1,1,0,122,1.0,0.008130081300813009,0.011904761904761904,0,122,0.5,0.005952380952380952,0.0075,0.00375
