threshold,predicted_count,tp,fp,fn,precision,recall,avg_labels_per_image,fp_to_remove,fn_to_add,ultra_mp,ultra_mr,ultra_map50,ultra_map50_95
0.10,71,24,47,34,0.3380281690140845,0.41379310344827586,1.5434782608695652,47,34,0.4661557275192997,0.3238095238095238,0.27693337756155095,0.1052987447880637
0.25,23,14,9,44,0.6086956521739131,0.2413793103448276,0.5,9,44,0.6777777777777778,0.23809523809523808,0.200812324929972,0.07524302054154997
0.50,4,3,1,55,0.75,0.05172413793103448,0.08695652173913043,1,55,0.375,0.05,0.0475,0.017249999999999998
0.75,1,1,0,57,1.0,0.017241379310344827,0.021739130434782608,0,57,0.5,0.016666666666666666,0.0175,0.007000000000000001
